Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Level/Status,Observation Status,Reporting Type,Units,2017,2020,2023
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),722,Small island developing States (SIDS),_T,A,G,PERCENT,29,28,23
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),90,Solomon Islands,_T,A,G,PERCENT,26,30,29
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),706,Somalia,_T,A,G,PERCENT,10,22,34
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),710,South Africa,_T,A,G,PERCENT,65,71,60
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),5,South America,_T,A,G,PERCENT,44,58,45
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),728,South Sudan,_T,A,G,PERCENT,38,43,43
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),35,South-Eastern Asia,_T,A,G,PERCENT,44,57,63
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),18,Southern Africa,_T,A,G,PERCENT,58,60,59
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),34,Southern Asia,_T,A,G,PERCENT,45,42,45
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),39,Southern Europe,_T,A,G,PERCENT,69,76,80
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),724,Spain,_T,A,G,PERCENT,82,87,92
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),144,Sri Lanka,_T,A,G,PERCENT,25,47,49
6,6.5,6.5.1,ER_H2O_IWRMD,Degree of integrated water resources management implementation (%),275,State of Palestine,_T,A,G,PERCENT,,,41
