Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,Level/Status,Observation Status,Reporting Type,Units,2017,2020,2023
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",426,Lesotho,_T,A,G,PERCENT,47,72,64
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",430,Liberia,_T,A,G,PERCENT,17,17,27
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",434,Libya,_T,A,G,PERCENT,57,54,
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",438,Liechtenstein,_T,A,G,PERCENT,68,77,83
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",440,Lithuania,_T,A,G,PERCENT,64,68,66
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",442,Luxembourg,_T,A,G,PERCENT,88,84,88
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",450,Madagascar,_T,A,G,PERCENT,40,40,40
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",454,Malawi,_T,A,G,PERCENT,40,76,83
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",458,Malaysia,_T,A,G,PERCENT,46,76,81
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",462,Maldives,_T,A,G,PERCENT,40,48,53
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",466,Mali,_T,A,G,PERCENT,58,58,62
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",470,Malta,_T,A,G,PERCENT,87,88,97
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",584,Marshall Islands,_T,A,G,PERCENT,40,37,37
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",478,Mauritania,_T,A,G,PERCENT,53,53,63
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",480,Mauritius,_T,A,G,PERCENT,65,70,68
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",54,Melanesia,_T,A,G,PERCENT,27,19,19
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",484,Mexico,_T,A,G,PERCENT,66,49,49
6,6.5,6.5.1,ER_H2O_IWRMD_EE,"Degree of integrated water resources management implementation, enabling environment (%)",57,Micronesia,_T,A,G,PERCENT,,,24
